energy,sigma_m2,results,lambda,error1,error2,rate,T_e
11.32,8.129173247505456e-34,0.2507203687506001,0.0437448,0.0401861,0.0472097,11.587644779468702,11.32
11.34,8.146071444226204e-34,0.2507078790491637,0.0432588,0.0396976,0.0467267,11.48215503271324,11.34
11.36,8.162966914526275e-34,0.2507122997448744,0.0427724,0.0392179,0.0462429,11.37679774847241,11.36
11.38,8.179859667153589e-34,0.2507114589344053,0.0422928,0.0387395,0.045761,11.272473337246087,11.38
11.4,8.196749710839073e-34,0.2506999344246004,0.0418137,0.0382616,0.0452833,11.167275600564249,11.4
11.42,8.21363705429612e-34,0.2507055775406183,0.041335,0.0377839,0.0448059,11.062421124259314,11.42
11.44,8.230521706220892e-34,0.2507028037931648,0.0408559,0.0373047,0.0443286,10.956556395237865,11.44
11.46,8.24740367529115e-34,0.2506921916436553,0.0403778,0.0368347,0.0438503,10.850092797545772,11.46
11.48,8.264282970167044e-34,0.2506987439597669,0.0399058,0.0363655,0.0433756,10.745486917323596,11.48
11.5,8.281159599490077e-34,0.2506945735988439,0.0394346,0.035897,0.0429041,10.64011370883046,11.5
11.52,8.298033571883359e-34,0.2506847926837108,0.0389637,0.0354286,0.0424331,10.534067780953816,11.52
11.54,8.314904895951409e-34,0.2506914454592219,0.0384923,0.0349602,0.0419621,10.428057172651284,11.54
11.56,8.331773580279166e-34,0.2506869244444647,0.0380235,0.0345001,0.0414898,10.32176513923609,11.56
11.58,8.348639633433374e-34,0.250677229384236,0.03756,0.034041,0.0410232,10.216189165545636,11.58
11.6,8.365503063960445e-34,0.2506840675858827,0.0370972,0.0335827,0.0405587,10.11096641788037,11.6
11.62,8.38236388038763e-34,0.2506799035059183,0.0366349,0.0331243,0.0400947,10.00492367746161,11.62
11.64,8.399222091222725e-34,0.2506698189646542,0.0361718,0.0326675,0.0396308,9.897920795618255,11.64
11.66,8.41607770495303e-34,0.2506763836211012,0.0357133,0.0322181,0.039165,9.792326383272513,11.66
11.68,8.432930730046244e-34,0.2506733080555213,0.035259,0.0317699,0.0387074,9.687001279601983,11.68
11.7,8.44978117494957e-34,0.2506626643267148,0.0348055,0.0313224,0.0382506,9.581107911725706,11.7
11.72,8.466629048089684e-34,0.2506683875384721,0.0343524,0.0308745,0.0377944,9.47545175396367,11.72
11.74,8.483474357872877e-34,0.2506670376808,0.033898,0.0304302,0.0373383,9.368666866830083,11.74
11.76,8.500317112684719e-34,0.2506558719467944,0.0334509,0.0299924,0.0368814,9.263040412138846,11.76
